title,budget,imdb_id,original_language,original_title,overview,release_date,runtime,tagline,revenue
Metro,13000000,tt2649128,ru,Metro,"Terror strikes the underground train system in Moscow in the form of a flood from a collapsed tunnel. The film follows a diverse group of Moscow citizens who find themselves trapped in the cityâ€™s underground rail network, their train derailed and virtually crushed after an aging tunnel collapses. Amongst this band of survivors is softly spoken surgeon Andrey (Sergei Puskepalis), whose wife is having an affair with the conceited businessman Vlad (Anatoly Beliy). Fate brings these two men together on the same doomed train, but there is little time to resolve their differences, as the tunnel begins to quickly fill with water, forcing them to work together with the others and find a way back to the surface.",21/02/2013,130.0,,4463059
A Madea Christmas,0,tt2609758,en,A Madea Christmas,Madea dispenses her unique form of holiday spirit on rural town when she's coaxed into helping a friend pay her daughter a surprise visit in the country for Christmas.,13/12/2013,100.0,This Little Fool Thinks She's Getting A Damn Pony,53396354
Legend No. 17,7720000,tt2182001,en,Legenda No. 17,"Biopic of Russian ice hockey legend Valeri Kharlamov from early childhood, rising to the pinnacle of the sport and his untimely death",17/04/2013,134.0,,29523237
A Million Ways to Die in the West,0,tt2557490,en,A Million Ways to Die in the West,"As a cowardly farmer begins to fall for the mysterious new woman in town, he must put his new-found courage to the test when her husband, a notorious gun-slinger, announces his arrival.",22/05/2014,116.0,Bring protection.,86410000
Bombay Talkies,0,tt2797242,en,Bombay Talkies,One hundred years of Hindi cinema is celebrated in four short stories showcasing the power of film.,03/05/2013,127.0,,2700000
Ugly,700000,tt2882328,hi,Ugly,"Kali is ten. Her parents Rahul and Shalini are divorced. Kali now lives with her mother and her step-father Shoumik, who heads the police detection squad in the city of Mumbai. One particular Saturday, when kali is out with her father Rahul, she disappearsâ€¦",17/05/2013,128.0,,2200000
"The Chef, The Actor, The Scoundrel",0,tt2645044,zh,åŽ¨å­æˆå­ç—žå­,"During Second Sino-Japanese War, China suffered from cholera outbreak because Japanese uses it as an biological weapon. Four Chinese agents captures a Japanese scientist and his bodyguard and interrogate them by Chinese opera in order to get the vaccine formula. Written by tom0902000",27/03/2013,108.0,,44400000
Fukrey,74110,tt2806788,en,Fukrey,"FUKREY is one such crazy story of four restless and hapless souls, running after their individual desires, brought together by one dream, which turns their not so simple life upside down. From breaking school walls, to cross dressing dancers at the Ram Lila; from a Jugaad Baaz college watchman to leaking examination papers; from a female pimp, who runs her drug cartel through Nigerian henchmen to visionary dreams.",14/06/2013,140.0,Going Cheap!,124221
Paris Countdown,0,tt2402163,fr,Le Jour attendra,"Unable to repay their debts, Milan and Victor, best friends and co-owners of a Paris nightclub, are lured into a drug deal that goes bad. Tortured by police, they negotiate their freedom against an overwhelming testimony that condemns their psychotic liaison to prison. Six years later, the men's nightmare begins again when the pyschopath is granted his freedom. Now, not having talked for years, the old friends are united again in order to survive.",24/07/2013,92.0,,1055
Contracted,0,tt2281159,en,Contracted,A young girl contracts what she thinks is a sexually-transmitted disease - but is actually something much worse.,07/07/2013,78.0,Not your average one night stand.,4105
Ramaiya Vastavaiya,4600000,tt2357926,hi,à¤°à¤®à¥ˆà¤¯à¤¾ Vastavaiya,A wealthy NRI falls hard for a country girl during a visit to his homeland.,19/07/2013,148.0,Go Desi Cool ...,7300000
Going Away,0,tt2289526,fr,Un beau dimanche,"Two unlikely friends â€” a supply teacher and a lonely young boy suspended between two estranged parents â€” embark on a weekend motorcycle voyage full of surprises and unforeseen consequences in this surprisingly tough, unsentimental drama.",08/09/2013,91.0,,95
Jealousy,4000000,tt2511670,fr,La jalousie,The professional and emotional cross-currents between two romantically entwined theater actors played by the directorâ€™s son Louis and Anna Mouglalis.,03/10/2013,77.0,,63946
Bullett Raja,7,tt2551378,hi,Bullett Raja,"A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",29/11/2013,138.0,,12
Kicking Off,2400000,tt2643308,en,Kicking Off,"This movie is about soccer hooligans, the most aggressive and violent soccer aficionados. They are an exclusive group, the elite of all soccer fans. Whoever they may be in their everyday livesâ€”college students, bankers, musicians, or car mechanicsâ€”they are a â€œfirm.â€ Itâ€™s easy to get into a firm, but once youâ€™re in, itâ€™s for life. Thereâ€™s no going back. The movie is based on actual events",24/09/2013,100.0,We're Here To Stay!,2505528
The Nut Job,0,tt1821658,en,The Nut Job,"Surly, a curmudgeon, independent squirrel is banished from his park and forced to survive in the city. Lucky for him, he stumbles on the one thing that may be able to save his life, and the rest of park community, as they gear up for winter - Maury's Nut Store.",17/01/2014,85.0,Let's Get Nuts!,122529966
Gori Tere Pyaar Mein,0,tt2275794,en,Gori Tere Pyaar Mein,"Sriram Venkat is the most shallow guy on earth who doesn't value relationships, family, friends, life or the country. Not necessarily in that order. Because he couldn't care less about the order. This makes him the clear 'black' sheep of the family.",22/11/2013,150.0,,342000
Best of the Best,5000000,tt0096913,en,Best of the Best,A team from the United States is going to compete against Korea in a Tae Kwon Do tournament. The team consists of fighters from all over the country--can they overcome their rivalry and work together to win?,10/11/1989,97.0,A team is not a team if you don't give a damn about each other.,1700000
House of Good and Evil,150000,tt1068953,en,House of Good and Evil,"After a family tragedy in the chaotic city, Chris and Maggie Conley, in a last-ditch effort to save their dying marriage, purchase an isolated home in the deepest woods, to which they quickly discover evil has a key.",26/04/2013,108.0,Some things are better kept apart.,560000
The One I Love,0,tt2756032,en,The One I Love,"On the brink of separation, Ethan and Sophie escape to a beautiful vacation house for a weekend getaway in an attempt to save their marriage. What begins as a romantic and fun retreat soon becomes surreal, when an unexpected discovery forces the two to examine themselves, their relationship, and their future.",08/08/2014,91.0,,513447
Rudderless,5000000,tt1798243,en,Rudderless,"A grieving father in a downward spiral stumbles across a box of his recently deceased son's demo tapes and lyrics. Shocked by the discovery of this unknown talent, he forms a band in the hope of finding some catharsis.",17/10/2014,105.0,The way back begins with a single chord.,58293
Jilla,8000000,tt2678948,ta,à®œà®¿à®²à¯à®²à®¾,"A cop decides to take on his godfather, who raised him from childhood, and make him realize the error of his ways.",10/01/2014,182.0,,18000000
Queen,0,tt3322420,hi,Queen,"Rani is a 24-year-old Punjabi woman. Her family is conservative. Her brother escorts her everywhere for her safety. But when her wedding is cancelled by her fiancÃ©, Rani is shocked and confused, and she decides to take her honeymoon by herself. The story of her wedding does not play a big part. The film is mostly about her growing up. She speaks for herself as she discovers her own identity.",27/02/2014,146.0,,17000000
I Can Quit Whenever I Want,2000000,tt3438354,it,Smetto quando voglio,"A university researcher is fired because of the cuts to university. To earn a living he decides to produce drugs recruiting his former colleagues, who despite their skills are living at the margins of society.",06/02/2014,100.0,,54606
Listen Up Philip,0,tt3093546,en,Listen Up Philip,"Anger rages in Philip as he awaits the publication of his second novel. He feels pushed out of his adopted home city by the constant crowds and noise, a deteriorating relationship with his photographer girlfriend Ashley, and his own indifference to promoting the novel. When Philip's idol Ike Zimmerman offers his isolated summer home as a refuge, he finally gets the peace and quiet to focus on his favorite subject: himself.",17/10/2014,108.0,,200126
Trespass Against Us,0,tt3305308,en,Trespass Against Us,"Three generations of the rowdy Cutler family live as outlaws in some of Britain's richest countryside â€“ hunting hares, ram-raiding stately homes, and taunting the police. Struggling to retain a way of life fast becoming extinct, Chad Cutler ends up caught between his father's archaic principles and trying to do right by his kids, whilst the full force of the law is finally catching up with him.",20/01/2017,99.0,Blood is a brutal bond.,5711
WWE WrestleMania XXX,0,tt3058844,en,WWE WrestleMania XXX,"WrestleMania XXX was the 30th annual WrestleMania professional wrestling PPV event produced by WWE to be held, on April 6, 2014, at the Mercedes-Benz Superdome in New Orleans, Louisiana. The event was the first WrestleMania to be held in the state of Louisiana. This was also the first WWE pay-per-view to broadcast live on the WWE Network service.",06/04/2014,240.0,Let the Good Times Roll,10900000
The Damned,3000000,tt2387408,en,The Damned,"After suffering the recent loss of his wife, David Reynolds decides to take his family on a cathartic trip to her home village in Columbia. While en route, they get into a car accident and seek refuge in a secluded inn. While there they find a mysterious young girl, Ana Maria, locked up with cryptic symbols painted on the walls of her cell. Shocked by the treatment of her caretaker, the family sets Ana free only to realize that she is possessed by an evil spirit from centuries past. Whatâ€™s worse, the spirit can jump from person to person, creating a deadly dynamic amongst the once loving family. Now, David must figure out a way to lock the spirit up for good before it destroys him and his family.",17/10/2013,87.0,Heaven help us,5758519
Nymphomaniac: Vol. I,0,tt1937390,da,Nymphomaniac: Vol. I,"A man named Seligman finds a fainted wounded woman in an alley and he brings her home. She tells him that her name is Joe and that she is nymphomaniac. Joe tells her life and sexual experiences with hundreds of men since she was a young teenager while Seligman tells about his hobbies, such as fly fishing, reading about Fibonacci numbers or listening to organ music.",25/12/2013,118.0,Forget About Love,10285896
Every Secret Thing,0,tt1706598,en,Every Secret Thing,"One clear summer day in a Baltimore suburb, a baby goes missing from her front porch. Two young girls serve seven years for the crime and are released into a town that hasn't fully forgiven or forgotten. Soon, another child is missing, and two detectives are called in to investigate the mystery in a community where everyone seems to have a secret.",20/04/2014,93.0,Don't look away for even a second.,103536
Boss Wants a Happy Ending,3000000,tt3233224,en,Patron Mutlu Son Ä°stiyor,"Sinan is sent to Capadocia by his boss, Isfendiyar to write a screenplay. As he waits for inspiration, Sinan finds himself running first into Eylul, the daughter of Izzet, who owns the hotel where he's booked to stay, and then into soap opera star Faruk, his former good friend and present enemy. It isn't long before cabdriver Lokman, who declares himself Sinan's 'chauffeur' and Arif, a local farmer and horse breeder, are part of both Sinan's life and his screenplay. Although plentiful adventures among the magical fairy chimneys, colorful balloons and at the annual grape festival become like a movie for all involved, the happy ending awaited by the boss, Isfendiyar never happens. But the boss insists on his happy ending. And Sinan has to write that ending!",01/01/2014,109.0,,3000000
Velaiyilla Pattathari,1100000,tt3822396,ta,Velaiyilla Pattathari,"Raghuvaran, who is unemployed for years, gets his dream job but a powerful rival is keen to put him down. Can he take on his adversary?",18/07/2014,135.0,,7700000
Huevos: Little Rooster's Egg-Cellent Adventure,5300000,tt4643580,es,Un gallo con muchos huevos,"Toto has grown and now is a young cock. An evil rancher tricks the female owner of the ranch where they live and forces her to bet the property in a cockfight in the arena. Toto is the only option to defend their home, so he must train in just one week and win the championship of the arena.",04/09/2015,99.0,,9080818
Leviathan,4000000,tt2802154,ru,Ð›ÐµÐ²Ð¸Ð°Ñ„Ð°Ð½,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",24/09/2014,140.0,,4396821
Falcon Rising,4500000,tt2295722,en,Falcon Rising,"Chapman is an ex-marine in Brazil's slums, battling the yakuza outfit who attacked his sister and left her for dead.",05/09/2014,103.0,,11774
Pane e burlesque,2000000,tt3284618,it,Pane e burlesque,,29/05/2014,,,319180
Anesthesia,0,tt3317208,en,Anesthesia,Multiple lives intersect in the aftermath of the violent mugging of a Columbia University philosophy professor.,08/01/2016,90.0,Who we don't know can save us,32163
Haider,0,tt3390572,hi,Haider,A young man returns to Kashmir after his father's disappearance to confront his uncle - the man he suspects to have a role in his father's fate.,02/10/2014,150.0,,11500000
Grindhouse,67000000,tt0462322,en,Grindhouse,Two full length feature horror movies written by Quentin Tarantino and Robert Rodriguez put together as a two film feature. Including fake movie trailers in between both movies.,06/04/2007,191.0,A double feature that'll tear you in two!,25037897
Marie's Story,0,tt3132714,fr,Marie Heurtin,Marie Heurtin is born both blind and deaf. Sister Marguerette wins her trust and teaches her how to express herself.,10/08/2014,95.0,,11720
"Margarita, with a Straw",0,tt2929690,en,"Margarita, with a Straw","In this inspirational love story, a Delhi university student and aspiring writer afflicted with cerebral palsy leaves India for New York University, where she falls for a fiery young activist.",04/10/2014,100.0,,1000000
MÃ¤nnerhort,0,tt3954222,de,MÃ¤nnerhort,"Quotas for women, parking spaces for women, online shopping, small talk and gossip. Software developer Erol, porta-potty rep Lars, and commercial pilot Helmut are licking the wounds of their masculinity â€“ a female-free zone is whatâ€™s needed! In the boiler room of their recently built housing complex, the three stressed husbands create a secret refuge where they can watch football, eat fast-food, drink beer and curse the opposite sex undisturbed. When Aykut, the complexâ€™s facility manager, discovers their last bastion of masculinity, he threatens to close it down. One thing is for sure, the men are not going to give up their little slice of paradise without a fight. Based on the stage play bearing the same name, director Franziska Meyer Price allows men to return to rebellious ladhood.",02/10/2014,0.0,,11774200
The Wailing,0,tt5215952,ko,ê³¡ì„±,A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,12/05/2016,156.0,Never be tempted.,785405
Turbo Kid,0,tt3672742,en,Turbo Kid,"In a post-apocalyptic wasteland, an orphaned teen must battle a ruthless warlord to save the girl of his dreams.",14/08/2015,95.0,This is the future... This is the year 1997.,67132
Pisasu,200000,tt4290746,ta,à®ªà®¿à®šà®¾à®šà¯,A violinist experiences paranormal experience in his flat after a death of a girl who he tries to save due to accident. Later he realises that actually the spirit is helping him and he tries to find out who killed the girl by accident.,19/12/2014,114.0,,1200000
Body,0,tt3732950,en,Body,A night out turns deadly when three girls break into a seemingly empty mansion.,25/01/2015,75.0,,2634
Spider-Man: Homecoming,175000000,tt2250912,en,Spider-Man: Homecoming,"Following the events of Captain America: Civil War, Peter Parker, with the help of his mentor Tony Stark, tries to balance his life as an ordinary high school student in Queens, New York City, with fighting crime as his superhero alter ego Spider-Man as a new threat, the Vulture, emerges.",05/07/2017,133.0,Homework can wait. The city can't.,880166924
In the Shadow of Women,0,tt3651326,fr,L'Ombre des femmes,"Pierre and Manon are poor. They make documentaries with nothing and they live by doing odd jobs.  Pierre meets a young intern, Elisabeth, and she becomes his mistress. But Pierre will not leave Manon for Elisabeth; he wants to keep both.",14/05/2015,73.0,,54985
The Bad Batch,6000000,tt4334266,en,The Bad Batch,"A love story set in a community of cannibals in a future dystopia. In a desert wasteland in Texas, a muscled cannibal breaks one important rule: donâ€™t play with your food.",23/06/2017,119.0,,180851
Detective Conan: Sunflowers of Inferno,0,tt3737650,ja,åæŽ¢åµã‚³ãƒŠãƒ³ æ¥­ç«ã®å‘æ—¥è‘µ,"Conan tries to track down Kaito Kid, who supposedly steals a replica of one of Van Gogh's Sunflowers paintings during an auction.",18/04/2015,112.0,,43000000
Carrie Pilby,0,tt2989524,en,Carrie Pilby,"Awkward, isolated and disapproving of most of the people around her, a precocious 19-year-old genius is challenged to put her convictions to the test by venturing out on to the NYC dating scene, in this adaptation of Caren Lissnerâ€™s best-selling 2003 novel.",31/03/2017,98.0,,18957
Hillsong: Let Hope Rise,10000000,tt3850544,en,Hillsong: Let Hope Rise,"Chronicles the unlikely rise to prominence of the Australia-based Christian band, Hillsong United.",16/09/2016,103.0,It's all about Him.,2600000
Shangri-La Suite,0,tt3014078,en,Shangri-La Suite,Karen and Jack met in a mental hospital and fell in love. They set out to follow what Jack thinks is his destiny: killing Elvis Presley.,01/11/2016,90.0,Meet Karen Bird and Jack Blueblood. Lovers. Dreamers. Serial Killers.,14073
14+,0,tt4427076,ru,14+,"Alex glides his mouse tenderly over online images of Vika. He has been smitten ever since he saw her with her friends and cannot get her out of his head. Now he has found Vikaâ€™s profile online and has learned a lot about her. Vika has no idea about any of this. She is beyond Alexâ€™s reach because her school and block of flats are enemy territory for him. Alex nonetheless sneaks into a disco at her school and plucks up the courage to ask her to dance. Incensed by the intruder, the other boys give Alex a beating.",07/02/2015,102.0,First Love,173616
Wiener-Dog,0,tt4144190,en,Wiener-Dog,"Wiener-Dog tells several stories featuring people who find their life inspired or changed by one particular dachshund, who seems to be spreading a certain kind of comfort and joy. Manâ€™s best friend starts out teaching a young boy some contorted life lessons before being taken in by a compassionate vet tech named Dawn Wiener. Dawn reunites with someone from her past and sets off on a road trip picking up some depressed mariachis along the way. Wiener-Dog then encounters a floundering film professor, as well as an embittered elderly woman and her needy granddaughterâ€”all longing for something more.",24/06/2016,88.0,,469311
Approaching the Unknown,0,tt2674430,en,Approaching the Unknown,"Captain William Stanaforth is on a one-way solo mission to take the first steps in colonising Mars. Like all pioneers throughout history, Stanaforth will face insurmountable odds and life and death decisions as he rockets bravely through space.",03/06/2016,90.0,,10232
NH10,0,tt3742284,hi,NH10,"A woman, stacked against all odds, manages to not just stick it out but indeed give it back.",13/03/2015,115.0,,5100000
Club Life,0,tt3038734,en,Club Life,"When Johnny D. is forced to take on his family's financial troubles, he turns to the Manhattan club scene to make some fast cash.  As he falls under the wing of a veteran nightlife promoter, Johnny quickly rises through the ranks - but soon finds that not everything behind the red rope is full of glitz and glamour.",29/05/2015,90.0,Tonight is everything.,4444
Into the Forest,0,tt2625810,en,Into the Forest,"In the not too distant future, two young women who live in a remote ancient forest discover the world around them is on the brink of an apocalypse. Informed only by rumor, they fight intruders, disease, loneliness &amp; starvation.",03/06/2016,101.0,Hope is power,9995
A Tale of Love and Darkness,4000000,tt1135989,he,A Tale of Love and Darkness,A story about the childhood of Oz in Jerusalem and his youth in the Kibbutz during the British Mandate and the first days of the state of Israel. The plot describes the relationship between young Oz to his mother and his first steps as a writer.,03/09/2015,95.0,,572212
Any Body Can Dance 2,0,tt3679000,hi,à¤à¤¬à¥€à¤¸à¥€à¤¡à¥€ 2,"Suresh wants to be a big dancer to fulfill his mother's wish. Vinnie wants to be the best hip-hop dancer. They are childhood friends. They form a team and participate in a national level competition ""Hum Kisi Se Kum Nahin"" where they are disqualified as their moves are copied and everyone calls them cheaters. Everyone departs to search for jobs.  Suresh plans to remove the negative tag by winning the hip-hop competition in Las Vegas. One day he watches Vishnu  dance in the bar and convinces him to be their choreographer. They audition for people and collect the team.",19/06/2015,154.0,,892000
Check It Out!,0,tt4325418,de,Abschussfahrt,During a school trip to Prague a group of friends leave the hotel and party through the night.,21/05/2015,88.0,,2864556
Maximum Ride,0,tt0825283,en,Maximum Ride,"Six children genetically cross-bred with avian DNA, complete with wings, take flight around the country to discover their origins.",30/09/2016,88.0,Welcome To Her Nightmare,4218
Hitchcock/Truffaut,0,tt3748512,en,Hitchcock/Truffaut,"Filmmakers discuss how Francois Truffaut's 1966 book ""Cinema According to Hitchcock"" influenced their work.",04/09/2015,79.0,,302459
Kevin Hart : What Now ?,0,tt4669186,en,Kevin Hart : What Now ?,"Comedian Kevin Hart performs in front of a crowd of 50,000 people at Philadelphia's outdoor venue, Lincoln Financial Field.",14/10/2016,96.0,,23600000
The Exception,0,tt4721124,en,The Exception,"A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",02/06/2017,107.0,One duty. One desire. One decision.,708973
Indignation,0,tt4193394,en,Indignation,"In 1951, Marcus Messner, a working-class Jewish student from New Jersey, attends a small Ohio college, where he struggles with anti-Semitism, sexual repression, and the ongoing Korean War.",29/07/2016,110.0,Based on the novel by Philip Roth.,3924527
The Belko Experiment,10000000,tt1082807,en,The Belko Experiment,"In a twisted social experiment, a group of 80 Americans are locked in their high-rise corporate office in BogotÃ¡, Colombia and ordered by an unknown voice coming from the company's intercom system to participate in a deadly game of kill or be killed.",17/03/2017,88.0,,10166820
Ingrid Bergman: In Her Own Words,0,tt4621016,sv,Jag Ã¤r Ingrid,A personal portrait of mythical and controversial actress Ingrid Bergman based on her many home movies and diaries.,19/05/2015,114.0,,137722
Final Portrait,0,tt4494718,en,Final Portrait,The story of Swiss painter and sculptor Alberto Giacometti.,03/08/2017,90.0,The search for perfection never ends,461972
Miss Stevens,0,tt2693580,en,Miss Stevens,A comedy focused on a teacher who chaperones a group of high schoolers to a state drama competition.,12/03/2016,86.0,,4611
It,35000000,tt1396484,en,It,"In a small town in Maine, seven children known as The Losers Club come face to face with life problems, bullies and a monster that takes the shape of a clown called Pennywise.",17/08/2017,0.0,Your fears are unleashed.,700381748
Sleight,0,tt4573516,en,Sleight,"A young street magician is left to take care of his little sister after his mother's passing and turns to drug dealing in the Los Angeles party scene to keep a roof over their heads. When he gets into trouble with his supplier, his sister is kidnapped and he is forced to rely on both his sleight of hand and brilliant mind to save her.",28/04/2017,89.0,You can change the cards you're dealt,3914430
Where to Invade Next,0,tt4897822,en,Where to Invade Next,"Academy Award-winning director Michael Moore returns with what may be his most provocative and hilarious film yet: Moore tells the Pentagon to ""stand down"" â€” he will do the invading for America from now on.",23/12/2015,120.0,Prepare to be liberated,3820195
Southbound,0,tt4935334,en,Southbound,"The film contains five stories set on desolate stretches of a desert highway. Two men on the run from their past, a band on its way to a gig, a man struggling to get home, a brother in search of his long-lost sister and a family on vacation are forced to confront their worst fears and darkest secrets in these interwoven tales.",17/09/2015,89.0,,23665
The Sense of an Ending,0,tt4827986,en,The Sense of an Ending,A man becomes haunted by his past and is presented with a mysterious legacy that causes him re-think his current situation in life.,10/03/2017,108.0,Unravel the truth,4842617
Guardians,5,tt4600952,ru,Ð—Ð°Ñ‰Ð¸Ñ‚Ð½Ð¸ÐºÐ¸,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",14/02/2017,100.0,Squad of Soviet Superheroes,4803565
Dog Eat Dog,0,tt4054654,en,Dog Eat Dog,"Carved from a lifetime of experience that runs the gamut from incarceration to liberation, Dog Eat Dog is the story of three men who are all out of prison and now have the task of adapting themselves to civilian life.",04/11/2016,93.0,,80
The Ones Below,0,tt4126438,en,The Ones Below,A couple expecting their first child discover an unnerving difference between themselves and the couple living in the flat below them who are also having a baby.,14/10/2015,87.0,How well do you know your neighbors?,12488
Digimon Adventure Tri. - Chapter 1: Reunion,0,tt4307880,ja,ãƒ‡ã‚¸ãƒ¢ãƒ³ã‚¢ãƒ‰ãƒ™ãƒ³ãƒãƒ£ãƒ¼ tri. ç¬¬1ç« ã€Œå†ä¼šã€,"It's been six years since that summer adventure when Taichi Yagami and the rest of the DigiDestined crossed over to the Digital World. And nearly three years have passed since the final battle between Hikari Yagami's group and BelialVamdemon. As the peaceful days passed by, at some point the gate to the Digital World closed. Not even the DigiDestined know what caused this, and time alone continues to pass.",21/11/2015,96.0,,2069015
Macho Man,0,tt2210787,de,Macho Man,A German man fells in love with a Turkish woman and changes his lifestyle for her family.,29/10/2015,98.0,,869780
Maudie,0,tt3721954,en,Maudie,"An unlikely romance in which the reclusive Everett Lewis hires a fragile yet determined woman named Maudie to be his housekeeper. Maudie, bright-eyed but hunched with crippled hands, yearns to be independent, to live away from her protective family and she also yearns, passionately, to create art. Unexpectedly, Everett finds himself falling in love. Based on a true story,",14/04/2017,115.0,Triumph epitomizes adversity,6170998
Blackway,8000000,tt4061010,en,Blackway,"A young woman newly returned to her hometown becomes the subject of harassment by a man named Blackway, an ex-cop turned violent crime lord who operates with impunity in this small community on the edge of the wilderness. Forsaken by the local townspeople, and advised by the Sheriff to leave town, Lillian decides instead to take a stand against her sociopathic stalker, and enlists the help of ex-logger Lester and his laconic young sidekick Nate.....",03/10/2015,90.0,Sometimes revenge is the only answer.,16458
The Age of Shadows,8620000,tt4914580,ko,ë°€ì •,"Movie follows the activities of the Heroic Corps, an anti-Japanese independence organization that existed under the Japanese colonial period in South Korea. The group used violent means to achieve Korean independence.",07/09/2016,139.0,,541719
The Innocents,0,tt4370784,fr,Les Innocentes,"Poland, 1945. Mathilde, a young French Red Cross doctor, is on a mission to help the war survivors. When a nun seeks for her help, she is brought to a convent where several pregnant sisters are hiding, unable to concile their faith with their pregnancy. Mathilde becomes their only hope.",10/02/2016,115.0,,1063893
Chronicles of the Ghostly Tribe,0,tt4819498,zh,ä¹å±‚å¦–å¡”,"In 1979, a young soldier is working in China's snowcapped mountains when an explosion reveals bizarre fossils hidden deep in the mountain caverns. What they discover next will change his life and human history forever.",30/09/2015,115.0,,99849421
Blind,0,tt1935089,en,Blind,A novelist is blinded in a car crash that killed his wife and several years later rediscovers his passion for life and writing when he embarks on an affair with the neglected wife of an indicted businessman.,14/07/2017,105.0,,12522
Fashion Chicks,450000,tt4307968,nl,Fashion Chicks,A nerdy girl creates an alter-ego to launch a successful fashion blog.,02/12/2015,93.0,,1500000
Bon Bini Holland,0,tt4247144,nl,Bon Bini Holland,,10/12/2015,95.0,,5500000
The Limehouse Golem,0,tt4733640,en,The Limehouse Golem,A series of murders has shaken the community to the point where people believe that only a legendary creature from dark times - the mythical so-called Golem - must be responsible.,31/08/2017,105.0,"Before the ripper, fear had another name.",2225698
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,0,tt4191702,en,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,A financial schemer finds himself in the middle of an international scandal after he becomes a political adviser to the new prime minister of Israel.,14/04/2017,117.0,,3814868
Theri,0,tt5440700,ta,à®¤à¯†à®±à®¿,"When an honest cop, Vijay Kumar's family is ruthlessly slaughtered by a politician and his aides, he decides to change his identity and commits his life to bring his daughter up in a serene atmosphere. But some freak events end up compromising his identity and what he does to save his daughter and avenge the death of his family unfurls as Theri.",14/04/2016,157.0,,26000000
The Disaster Artist,10000000,tt3521126,en,The Disaster Artist,"An aspiring actor in Hollywood meets an enigmatic stranger by the name of Tommy Wiseau, the meeting leads the actor down a path nobody could have predicted; creating the worst movie ever made.",01/12/2017,98.0,"I did naaaht! Oh, hi Mark",29820616
Hunt for the Wilderpeople,2500000,tt4698684,en,Hunt for the Wilderpeople,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",31/03/2016,101.0,Nature just got gangster,23200000
The Love Witch,0,tt3908142,en,The Love Witch,"Elaine, a beautiful young witch, is determined to find a man to love her. In her gothic Victorian apartment she makes spells and potions, and then picks up men and seduces them. However her spells work too well, and she ends up with a string of hapless victims. When she finally meets the man of her dreams, her desperation to be loved will drive her to the brink of insanity and murder.",11/11/2016,120.0,She loved men... to death,228894
After the Storm,0,tt5294966,ja,æµ·ã‚ˆã‚Šã‚‚ã¾ã æ·±ã,"Ryota is an unpopular writer although he won a literary award 15 years ago. Now, Ryota works as a private detective. He is divorced from his ex-wife Kyoko and he has an 11-year-old son Shingo. His mother Yoshiko lives alone at her apartment. One day, Ryota, his ex-wife Kyoko, and son Shingo gather at Yoshiko's apartment. A typhoon passes and the family must stay there all night long.",21/05/2016,117.0,,272132
Detective Conan: The Darkest Nightmare,0,tt4954660,ja,åæŽ¢åµã‚³ãƒŠãƒ³ ç´”é»’ã®æ‚ªå¤¢ï¼ˆãƒŠã‚¤ãƒˆãƒ¡ã‚¢ï¼‰,"On a dark night, the Japanese police is raided by a spy. Different countries' intelligence agenciesâ€”such as England's MI6, Germany's BDN, and America's CIAâ€”as well as the FBI's secret files are going to be taken, but public safety officers lead by Tooru Amuro arrive just in time. The spy steals a car and escapes. The spy and Amuro are then locked in a dead heat on the highway, and just as it is about to cause an accident with multiple cars, the spy's car is hit by FBI agent Shuichi Akai's rifle bullet and falls of the roadway.  The next day, Conan and his friends go to a newly-remodeled aquarium in Tokyo. Under the main attraction, a Ferris wheel, Conan finds an attractive woman alone and injured. Her left and right eyes are different colors.",16/04/2016,112.0,,56241417
Mafia: Survival Game,2570000,tt4471388,ru,ÐœÐ°Ñ„Ð¸Ñ: Ð˜Ð³Ñ€Ð° Ð½Ð° Ð²Ñ‹Ð¶Ð¸Ð²Ð°Ð½Ð¸Ðµ,A twist on the classic game of Mafia. 12 competitors take part in a game of life and death where the innocent must take out the Mafia in order to win the cash prize. Those that are voted out must face their biggest fears in a computer simulation.,07/01/2016,91.0,,4026795
No manches Frida,0,tt5259966,es,No manches Frida,A thief gets a job at a school in order to retrieve the money he hid awhile ago.,02/09/2016,0.0,,12421716
